ID,분류,우선순위,제목,사전조건,재현 스텝,기대 결과,검증 방법
TC-001,무기 수치,P1,마력 화살 Lv1 실효 스탯 검증,마력 화살 Lv1 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=10, cooldown=0.55, count=1, speed=430, range=240",AUTO
TC-002,무기 수치,P1,마력 화살 Lv2 실효 스탯 검증,마력 화살 Lv2 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=14, cooldown=0.5, count=1.5, speed=450, range=262",AUTO
TC-003,무기 수치,P1,마력 화살 Lv3 실효 스탯 검증,마력 화살 Lv3 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=18, cooldown=0.45, count=2, speed=470, range=284",AUTO
TC-004,무기 수치,P1,마력 화살 Lv4 실효 스탯 검증,마력 화살 Lv4 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=22, cooldown=0.4, count=2.5, speed=490, range=306",AUTO
TC-005,무기 수치,P1,마력 화살 Lv5 실효 스탯 검증,마력 화살 Lv5 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=26, cooldown=0.35, count=3, speed=510, range=328",AUTO
TC-006,무기 기능,P1,마력 화살 최대 레벨(5) 초과 업그레이드 미노출,마력 화살 Lv5 보유,레벨업 3회 반복하며 선택지 확인,마력 화살 카드가 선택지에 등장하지 않음,MANUAL
TC-007,무기 수치,P1,마력 오라 Lv1 실효 스탯 검증,마력 오라 Lv1 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=5, tick=0.5, radius=80, slow=0.1",AUTO
TC-008,무기 수치,P1,마력 오라 Lv2 실효 스탯 검증,마력 오라 Lv2 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=7, tick=0.46, radius=96, slow=0.12",AUTO
TC-009,무기 수치,P1,마력 오라 Lv3 실효 스탯 검증,마력 오라 Lv3 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=9, tick=0.42, radius=112, slow=0.14",AUTO
TC-010,무기 수치,P1,마력 오라 Lv4 실효 스탯 검증,마력 오라 Lv4 보유 상태,spec.json 기준 base+perLv 계산값과 인게임 동작 대조,"damage=11, tick=0.38, radius=128, slow=0.16",AUTO
